n-gram,normalized_frequency,raw_frequency
key,0.021774856203779787,1387.406737880033
fish,0.015612161051766639,994.7444535743632
high,0.013968775677896467,890.0345110928513
the,0.012736236647493838,811.5020542317174
2021,0.012325390304026294,785.3245686113394
found,0.01191454396055875,759.1470829909613
status,0.011503697617091208,732.9695973705834
1,0.011503697617091208,732.9695973705834
levels,0.011503697617091208,732.9695973705834
’,0.010271158586688579,654.4371405094495
kills,0.009860312243221035,628.2596548890715
coast,0.009449465899753493,602.0821692686935
concentrations,0.009449465899753493,602.0821692686935
island,0.009038619556285949,575.9046836483155
#redtide,0.008627773212818405,549.7271980279376
detected,0.008627773212818405,549.7271980279376
fwc,0.008216926869350863,523.5497124075596
environment,0.0078060805258833195,497.3722267871816
along,0.006984387838948234,445.01725554642564
-,0.00657354149548069,418.83976992604767
blooms,0.00657354149548069,418.83976992604767
report,0.006162695152013147,392.6622843056697
wusfnews,0.006162695152013147,392.6622843056697
sand,0.005751848808545604,366.4847986852917
07,0.005751848808545604,366.4847986852917
redfish,0.005341002465078061,340.3073130649137
pass,0.005341002465078061,340.3073130649137
02,0.005341002465078061,340.3073130649137
causing,0.005341002465078061,340.3073130649137
reported,0.005341002465078061,340.3073130649137
said,0.005341002465078061,340.3073130649137
highest,0.005341002465078061,340.3073130649137
sunken,0.005341002465078061,340.3073130649137
snake,0.005341002465078061,340.3073130649137
myfwc,0.0049301561216105174,314.12982744453575
hnk47,0.0049301561216105174,314.12982744453575
north,0.0045193097781429745,287.95234182415777
manatee,0.0045193097781429745,287.95234182415777
park,0.0045193097781429745,287.95234182415777
service,0.004108463434675432,261.7748562037798
in,0.004108463434675432,261.7748562037798
issues,0.004108463434675432,261.7748562037798
madeira,0.004108463434675432,261.7748562037798
i,0.0036976170912078883,235.5973705834018
waters,0.0036976170912078883,235.5973705834018
loans,0.0036976170912078883,235.5973705834018
released,0.0036976170912078883,235.5973705834018
past,0.0036976170912078883,235.5973705834018
reached,0.0036976170912078883,235.5973705834018
suspected,0.0036976170912078883,235.5973705834018
johns,0.0036976170912078883,235.5973705834018
pass-a-grille,0.0036976170912078883,235.5973705834018
treasure,0.0036976170912078883,235.5973705834018
indian,0.0036976170912078883,235.5973705834018
rocks,0.0036976170912078883,235.5973705834018
weather,0.0036976170912078883,235.5973705834018
hazard,0.0036976170912078883,235.5973705834018
statement,0.0036976170912078883,235.5973705834018
goers,0.0036976170912078883,235.5973705834018
help,0.003286770747740345,209.41988496302383
fishing,0.003286770747740345,209.41988496302383
and,0.003286770747740345,209.41988496302383
federal,0.003286770747740345,209.41988496302383
disaster,0.003286770747740345,209.41988496302383
impacted,0.003286770747740345,209.41988496302383
snook,0.003286770747740345,209.41988496302383
week,0.003286770747740345,209.41988496302383
collier,0.003286770747740345,209.41988496302383
houex,0.003286770747740345,209.41988496302383
latest,0.002875924404272802,183.24239934264585
update,0.002875924404272802,183.24239934264585
offshore,0.002875924404272802,183.24239934264585
including,0.002875924404272802,183.24239934264585
11,0.002875924404272802,183.24239934264585
06,0.002875924404272802,183.24239934264585
amp,0.002875924404272802,183.24239934264585
scalloping,0.002875924404272802,183.24239934264585
near,0.0024650780608052587,157.06491372226787
shrimpers,0.0024650780608052587,157.06491372226787
shows,0.0024650780608052587,157.06491372226787
available,0.0024650780608052587,157.06491372226787
businesses,0.0024650780608052587,157.06491372226787
release,0.0024650780608052587,157.06491372226787
port,0.0024650780608052587,157.06491372226787
richey,0.0024650780608052587,157.06491372226787
respiratory,0.0024650780608052587,157.06491372226787
2019,0.0024650780608052587,157.06491372226787
bn9,0.0024650780608052587,157.06491372226787
water,0.0024650780608052587,157.06491372226787
org,0.0024650780608052587,157.06491372226787
cut,0.002054231717337716,130.8874281018899
#pasco,0.002054231717337716,130.8874281018899
catch,0.002054231717337716,130.8874281018899
new,0.002054231717337716,130.8874281018899
observed,0.002054231717337716,130.8874281018899
back,0.002054231717337716,130.8874281018899
also,0.002054231717337716,130.8874281018899
wildlife,0.002054231717337716,130.8874281018899
officials,0.002054231717337716,130.8874281018899
well,0.002054231717337716,130.8874281018899
may,0.002054231717337716,130.8874281018899
last,0.002054231717337716,130.8874281018899
charlotte,0.002054231717337716,130.8874281018899
patchy,0.002054231717337716,130.8874281018899
of,0.002054231717337716,130.8874281018899
st,0.002054231717337716,130.8874281018899
20,0.002054231717337716,130.8874281018899
tide-related,0.002054231717337716,130.8874281018899
wgcu,0.002054231717337716,130.8874281018899
concerns,0.002054231717337716,130.8874281018899
good,0.0016433853738701725,104.70994248151192
10newswtsp,0.0016433853738701725,104.70994248151192
a,0.0016433853738701725,104.70994248151192
drum,0.0016433853738701725,104.70994248151192
continues,0.0016433853738701725,104.70994248151192
floridas,0.0016433853738701725,104.70994248151192
affected,0.0016433853738701725,104.70994248151192
article,0.0016433853738701725,104.70994248151192
west,0.0016433853738701725,104.70994248151192
center,0.0016433853738701725,104.70994248151192
2,0.0016433853738701725,104.70994248151192
us,0.0016433853738701725,104.70994248151192
recovery,0.0016433853738701725,104.70994248151192
they,0.0016433853738701725,104.70994248151192
way,0.0016433853738701725,104.70994248151192
it,0.0016433853738701725,104.70994248151192
still,0.0016433853738701725,104.70994248151192
say,0.0016433853738701725,104.70994248151192
brevis,0.0016433853738701725,104.70994248151192
state,0.0016433853738701725,104.70994248151192
line,0.0016433853738701725,104.70994248151192
gordon,0.0016433853738701725,104.70994248151192
10,0.0016433853738701725,104.70994248151192
season,0.0016433853738701725,104.70994248151192
areas,0.0016433853738701725,104.70994248151192
16000,0.0016433853738701725,104.70994248151192
sarahblazonis,0.0016433853738701725,104.70994248151192
one,0.0016433853738701725,104.70994248151192
spotted,0.0016433853738701725,104.70994248151192
seatrout,0.0016433853738701725,104.70994248151192
health,0.0016433853738701725,104.70994248151192
killed,0.0016433853738701725,104.70994248151192
23,0.0016433853738701725,104.70994248151192
24,0.0016433853738701725,104.70994248151192
#googlealerts,0.0016433853738701725,104.70994248151192
petersburg,0.0016433853738701725,104.70994248151192
samples,0.0016433853738701725,104.70994248151192
mckennakingtv,0.0016433853738701725,104.70994248151192
despite,0.0016433853738701725,104.70994248151192
hernando,0.0016433853738701725,104.70994248151192
reports,0.0012325390304026294,78.53245686113394
struggling,0.0012325390304026294,78.53245686113394
devastates,0.0012325390304026294,78.53245686113394
industry,0.0012325390304026294,78.53245686113394
incomes,0.0012325390304026294,78.53245686113394
es,0.0012325390304026294,78.53245686113394
1386641118,0.0012325390304026294,78.53245686113394
daily,0.0012325390304026294,78.53245686113394
affecting,0.0012325390304026294,78.53245686113394
clearwater,0.0012325390304026294,78.53245686113394
live,0.0012325390304026294,78.53245686113394
rick,0.0012325390304026294,78.53245686113394
scott,0.0012325390304026294,78.53245686113394
want,0.0012325390304026294,78.53245686113394
fault,0.0012325390304026294,78.53245686113394
see,0.0012325390304026294,78.53245686113394
#florida,0.0012325390304026294,78.53245686113394
#pascocounty,0.0012325390304026294,78.53245686113394
#pinellas,0.0012325390304026294,78.53245686113394
#manatee,0.0012325390304026294,78.53245686113394
#sarasota,0.0012325390304026294,78.53245686113394
business,0.0012325390304026294,78.53245686113394
sba,0.0012325390304026294,78.53245686113394
location,0.0012325390304026294,78.53245686113394
67,0.0012325390304026294,78.53245686113394
starting,0.0012325390304026294,78.53245686113394
pm,0.0012325390304026294,78.53245686113394
today,0.0012325390304026294,78.53245686113394
more,0.0012325390304026294,78.53245686113394
problems,0.0012325390304026294,78.53245686113394
around,0.0012325390304026294,78.53245686113394
santa,0.0012325390304026294,78.53245686113394
rosa,0.0012325390304026294,78.53245686113394
catch-and-release,0.0012325390304026294,78.53245686113394
juvenile,0.0012325390304026294,78.53245686113394
dukeenergy,0.0012325390304026294,78.53245686113394
year,0.0012325390304026294,78.53245686113394
25,0.0012325390304026294,78.53245686113394
take,0.0012325390304026294,78.53245686113394
lee,0.0012325390304026294,78.53245686113394
persists,0.0012325390304026294,78.53245686113394
even,0.0012325390304026294,78.53245686113394
go,0.0012325390304026294,78.53245686113394
dead,0.0012325390304026294,78.53245686113394
so,0.0012325390304026294,78.53245686113394
organism,0.0012325390304026294,78.53245686113394
karenia,0.0012325390304026294,78.53245686113394
tons,0.0012325390304026294,78.53245686113394
people,0.0012325390304026294,78.53245686113394
says,0.0012325390304026294,78.53245686113394
timwronka,0.0012325390304026294,78.53245686113394
#swfl,0.0012325390304026294,78.53245686113394
southtampa,0.0012325390304026294,78.53245686113394
downtown,0.0012325390304026294,78.53245686113394
area,0.0012325390304026294,78.53245686113394
lingering,0.0012325390304026294,78.53245686113394
irritation,0.0012325390304026294,78.53245686113394
5,0.0012325390304026294,78.53245686113394
if,0.0008216926869350862,52.35497124075596
issue,0.0008216926869350862,52.35497124075596
1386205140,0.0008216926869350862,52.35497124075596
wfla,0.0008216926869350862,52.35497124075596
home,0.0008216926869350862,52.35497124075596
vote,0.0008216926869350862,52.35497124075596
#dovedailyupdate,0.0008216926869350862,52.35497124075596
1055wduv,0.0008216926869350862,52.35497124075596
how,0.0008216926869350862,52.35497124075596
starts,0.0008216926869350862,52.35497124075596
yet,0.0008216926869350862,52.35497124075596
smaller,0.0008216926869350862,52.35497124075596
waste,0.0008216926869350862,52.35497124075596
worst,0.0008216926869350862,52.35497124075596
years,0.0008216926869350862,52.35497124075596
is,0.0008216926869350862,52.35497124075596
fight,0.0008216926869350862,52.35497124075596
sbagov,0.0008216926869350862,52.35497124075596
same,0.0008216926869350862,52.35497124075596
made,0.0008216926869350862,52.35497124075596
month,0.0008216926869350862,52.35497124075596
next,0.0008216926869350862,52.35497124075596
spring,0.0008216926869350862,52.35497124075596
extends,0.0008216926869350862,52.35497124075596
small,0.0008216926869350862,52.35497124075596
times,0.0008216926869350862,52.35497124075596
597512847,0.0008216926869350862,52.35497124075596
entrepreneur,0.0008216926869350862,52.35497124075596
900,0.0008216926869350862,52.35497124075596
4532,0.0008216926869350862,52.35497124075596
19,0.0008216926869350862,52.35497124075596
tuesday-,0.0008216926869350862,52.35497124075596
friday,0.0008216926869350862,52.35497124075596
1000,0.0008216926869350862,52.35497124075596
gov,0.0008216926869350862,52.35497124075596
resources,0.0008216926869350862,52.35497124075596
hurricane,0.0008216926869350862,52.35497124075596
abcactionnews,0.0008216926869350862,52.35497124075596
to,0.0008216926869350862,52.35497124075596
remember,0.0008216926869350862,52.35497124075596
reporting,0.0008216926869350862,52.35497124075596
escambia,0.0008216926869350862,52.35497124075596
franklin,0.0008216926869350862,52.35497124075596
medium,0.0008216926869350862,52.35497124075596
includes,0.0008216926869350862,52.35497124075596
12,0.0008216926869350862,52.35497124075596
monitoring,0.0008216926869350862,52.35497124075596
great,0.0008216926869350862,52.35497124075596
day,0.0008216926869350862,52.35497124075596
donated,0.0008216926869350862,52.35497124075596
coming,0.0008216926869350862,52.35497124075596
thanks,0.0008216926869350862,52.35497124075596
releasing,0.0008216926869350862,52.35497124075596
#gulfcoast,0.0008216926869350862,52.35497124075596
this,0.0008216926869350862,52.35497124075596
releases,0.0008216926869350862,52.35497124075596
place,0.0008216926869350862,52.35497124075596
#charlotte,0.0008216926869350862,52.35497124075596
#lee,0.0008216926869350862,52.35497124075596
details,0.0008216926869350862,52.35497124075596
hope,0.0008216926869350862,52.35497124075596
#redfish,0.0008216926869350862,52.35497124075596
05,0.0008216926869350862,52.35497124075596
places,0.0008216926869350862,52.35497124075596
repopulate,0.0008216926869350862,52.35497124075596
region,0.0008216926869350862,52.35497124075596
16,0.0008216926869350862,52.35497124075596
31,0.0008216926869350862,52.35497124075596
south,0.0008216926869350862,52.35497124075596
01,0.0008216926869350862,52.35497124075596
across,0.0008216926869350862,52.35497124075596
over,0.0008216926869350862,52.35497124075596
northwest,0.0008216926869350862,52.35497124075596
30a,0.0008216926869350862,52.35497124075596
got,0.0008216926869350862,52.35497124075596
legs,0.0008216926869350862,52.35497124075596
land,0.0008216926869350862,52.35497124075596
affects,0.0008216926869350862,52.35497124075596
holidays,0.0008216926869350862,52.35497124075596
actually,0.0008216926869350862,52.35497124075596
toll,0.0008216926869350862,52.35497124075596
tbtimes,0.0008216926869350862,52.35497124075596
just,0.0008216926869350862,52.35497124075596
many,0.0008216926869350862,52.35497124075596
persisting,0.0008216926869350862,52.35497124075596
far,0.0008216926869350862,52.35497124075596
have,0.0008216926869350862,52.35497124075596
now,0.0008216926869350862,52.35497124075596
dont,0.0008216926869350862,52.35497124075596
right,0.0008216926869350862,52.35497124075596
move,0.0008216926869350862,52.35497124075596
visit,0.0008216926869350862,52.35497124075596
#redtide-related,0.0008216926869350862,52.35497124075596
palmharbor,0.0008216926869350862,52.35497124075596
largo,0.0008216926869350862,52.35497124075596
dunedin,0.0008216926869350862,52.35497124075596
gulfport,0.0008216926869350862,52.35497124075596
safetyharbor,0.0008216926869350862,52.35497124075596
eastlake,0.0008216926869350862,52.35497124075596
pinellasbeaches,0.0008216926869350862,52.35497124075596
moving,0.0008216926869350862,52.35497124075596
causes,0.0008216926869350862,52.35497124075596
09,0.0008216926869350862,52.35497124075596
continue,0.0008216926869350862,52.35497124075596
finds,0.0008216926869350862,52.35497124075596
increasing,0.0008216926869350862,52.35497124075596
scallop,0.0008216926869350862,52.35497124075596
underway,0.0008216926869350862,52.35497124075596
away,0.0008216926869350862,52.35497124075596
med-high,0.0008216926869350862,52.35497124075596
you,0.0008216926869350862,52.35497124075596
check,0.0008216926869350862,52.35497124075596
killing,0.0008216926869350862,52.35497124075596
everything,0.0008216926869350862,52.35497124075596
going,0.0008216926869350862,52.35497124075596
risk,0.0008216926869350862,52.35497124075596
related,0.0008216926869350862,52.35497124075596
08,0.0008216926869350862,52.35497124075596
completely,0.0008216926869350862,52.35497124075596
boilerblondie,0.0004108463434675431,26.17748562037798
hi,0.0004108463434675431,26.17748562037798
brittany,0.0004108463434675431,26.17748562037798
customer,0.0004108463434675431,26.17748562037798
727-847-2411,0.0004108463434675431,26.17748562037798
asking,0.0004108463434675431,26.17748562037798
continuing,0.0004108463434675431,26.17748562037798
monitor,0.0004108463434675431,26.17748562037798
worry,0.0004108463434675431,26.17748562037798
thats,0.0004108463434675431,26.17748562037798
already,0.0004108463434675431,26.17748562037798
cutting,0.0004108463434675431,26.17748562037798
bait,0.0004108463434675431,26.17748562037798
shops,0.0004108463434675431,26.17748562037798
buying,0.0004108463434675431,26.17748562037798
🚨,0.0004108463434675431,26.17748562037798
historic,0.0004108463434675431,26.17748562037798
burns,0.0004108463434675431,26.17748562037798
tomorrow,0.0004108463434675431,26.17748562037798
dove,0.0004108463434675431,26.17748562037798
#stilthouse,0.0004108463434675431,26.17748562037798
#fwc,0.0004108463434675431,26.17748562037798
#mondaymotivation,0.0004108463434675431,26.17748562037798
1034002598909628416,0.0004108463434675431,26.17748562037798
pascosheriff,0.0004108463434675431,26.17748562037798
situation,0.0004108463434675431,26.17748562037798
map,0.0004108463434675431,26.17748562037798
stretches,0.0004108463434675431,26.17748562037798
length,0.0004108463434675431,26.17748562037798
2xkizqu,0.0004108463434675431,26.17748562037798
wonder,0.0004108463434675431,26.17748562037798
conservatives,0.0004108463434675431,26.17748562037798
give,0.0004108463434675431,26.17748562037798
shit,0.0004108463434675431,26.17748562037798
tourism,0.0004108463434675431,26.17748562037798
county-or,0.0004108463434675431,26.17748562037798
better,0.0004108463434675431,26.17748562037798
coastal,0.0004108463434675431,26.17748562037798
towns,0.0004108463434675431,26.17748562037798
deep,0.0004108463434675431,26.17748562037798
probably,0.0004108463434675431,26.17748562037798
hold,0.0004108463434675431,26.17748562037798
accountable,0.0004108463434675431,26.17748562037798
beautiful,0.0004108463434675431,26.17748562037798
angers,0.0004108463434675431,26.17748562037798
destroyed,0.0004108463434675431,26.17748562037798
endangered,0.0004108463434675431,26.17748562037798
animals,0.0004108463434675431,26.17748562037798
dying,0.0004108463434675431,26.17748562037798
decided,0.0004108463434675431,26.17748562037798
twice,0.0004108463434675431,26.17748562037798
governor,0.0004108463434675431,26.17748562037798
put,0.0004108463434675431,26.17748562037798
rich,0.0004108463434675431,26.17748562037798
peoples,0.0004108463434675431,26.17748562037798
interests,0.0004108463434675431,26.17748562037798
planet,0.0004108463434675431,26.17748562037798
everyone,0.0004108463434675431,26.17748562037798
voted,0.0004108463434675431,26.17748562037798
blame,0.0004108463434675431,26.17748562037798
hear,0.0004108463434675431,26.17748562037798
washington,0.0004108463434675431,26.17748562037798
oh,0.0004108463434675431,26.17748562037798
tides,0.0004108463434675431,26.17748562037798
allowed,0.0004108463434675431,26.17748562037798
big,0.0004108463434675431,26.17748562037798
corporations,0.0004108463434675431,26.17748562037798
led,0.0004108463434675431,26.17748562037798
crisis,0.0004108463434675431,26.17748562037798
he,0.0004108463434675431,26.17748562037798
at,0.0004108463434675431,26.17748562037798
hunt,0.0004108463434675431,26.17748562037798
remove,0.0004108463434675431,26.17748562037798
floating,0.0004108463434675431,26.17748562037798
plastic,0.0004108463434675431,26.17748562037798
maybe,0.0004108463434675431,26.17748562037798
#whales,0.0004108463434675431,26.17748562037798
#animals,0.0004108463434675431,26.17748562037798
#oceans,0.0004108463434675431,26.17748562037798
#pinellascounty,0.0004108463434675431,26.17748562037798
#pollution,0.0004108463434675431,26.17748562037798
watch,0.0004108463434675431,26.17748562037798
1044173410643972096,0.0004108463434675431,26.17748562037798
#10news,0.0004108463434675431,26.17748562037798
#news,0.0004108463434675431,26.17748562037798
#wtsp,0.0004108463434675431,26.17748562037798
brandonpromo,0.0004108463434675431,26.17748562037798
1044175636061810688,0.0004108463434675431,26.17748562037798
low-interest,0.0004108463434675431,26.17748562037798
avail,0.0004108463434675431,26.17748562037798
bizs,0.0004108463434675431,26.17748562037798
earlier,0.0004108463434675431,26.17748562037798
joshsidorowicz,0.0004108463434675431,26.17748562037798
1044177126197538816,0.0004108463434675431,26.17748562037798
1044180979420733440,0.0004108463434675431,26.17748562037798
restriction,0.0004108463434675431,26.17748562037798
extended,0.0004108463434675431,26.17748562037798
stretch,0.0004108463434675431,26.17748562037798
fox13news,0.0004108463434675431,26.17748562037798
1045022087054848000,0.0004108463434675431,26.17748562037798
as,0.0004108463434675431,26.17748562037798
kill,0.0004108463434675431,26.17748562037798
order,0.0004108463434675431,26.17748562037798
returned,0.0004108463434675431,26.17748562037798
caught,0.0004108463434675431,26.17748562037798
emeraldmorrow,0.0004108463434675431,26.17748562037798
1045278737384787968,0.0004108463434675431,26.17748562037798
was,0.0004108463434675431,26.17748562037798
satellite,0.0004108463434675431,26.17748562037798
office,0.0004108463434675431,26.17748562037798
opening,0.0004108463434675431,26.17748562037798
interested,0.0004108463434675431,26.17748562037798
program,0.0004108463434675431,26.17748562037798
we,0.0004108463434675431,26.17748562037798
let,0.0004108463434675431,26.17748562037798
know,0.0004108463434675431,26.17748562037798
soon,0.0004108463434675431,26.17748562037798
confirmed,0.0004108463434675431,26.17748562037798
tuesday,0.0004108463434675431,26.17748562037798
october,0.0004108463434675431,26.17748562037798
highway,0.0004108463434675431,26.17748562037798
34652,0.0004108463434675431,26.17748562037798
600,0.0004108463434675431,26.17748562037798
saturday,0.0004108463434675431,26.17748562037798
200,0.0004108463434675431,26.17748562037798
conditions,0.0004108463434675431,26.17748562037798
improve,0.0004108463434675431,26.17748562037798
low,0.0004108463434675431,26.17748562037798
1045792329544724480,0.0004108463434675431,26.17748562037798
opens,0.0004108463434675431,26.17748562037798
#smallbiz,0.0004108463434675431,26.17748562037798
algal,0.0004108463434675431,26.17748562037798
